COD F51
OBS N. Primak, A. Schultz, S. Watters, J. Thiel, T. Goggia
MEA J.Ospina, L. Piedraita, I.Moreno, S.Lopez, J. Zuluaga (NEA, Colombia)
TEL 1.8-m f/4.4 Ritchey-Chretien + CCD
ACK MPCReport file updated 2017.12.27 17:28:34
NET PPMXL

Image set: ps1-20170914_4_set096

     NEA0001 dC2017 09 14.41328923 38 16.657-04 01 10.27         20.8 R      F51
     NEA0001  C2017 09 14.41328923 38 35.562-04 03 15.01         19.2 R      F51
     NEA0001  C2017 09 14.42527223 38 15.923-04 01 14.19         21.4 R      F51
     NEA0001  C2017 09 14.43721423 38 15.221-04 01 18.23         21.1 R      F51
     NEA0001  C2017 09 14.44913123 38 14.505-04 01 22.17         21.0 R      F51
     NEA0002  C2017 09 14.42527223 38 34.903-04 03 32.66         19.4 R      F51
     NEA0002  C2017 09 14.43721423 38 34.224-04 03 50.40         19.2 R      F51
     NEA0002  C2017 09 14.44913123 38 33.541-04 04 08.23         19.6 R      F51
     NEA0003  C2017 09 14.41328923 38 40.301-04 05 54.30         20.6 R      F51
     NEA0003  C2017 09 14.42527223 38 39.661-04 05 56.06         20.5 R      F51
     NEA0003  C2017 09 14.43721423 38 39.032-04 05 57.80         20.9 R      F51
     NEA0003  C2017 09 14.44913123 38 38.408-04 05 59.43         21.1 R      F51
     NEA0004  C2017 09 14.42527223 38 40.892-04 08 37.96         20.9 R      F51
     NEA0004  C2017 09 14.43721423 38 40.386-04 08 42.38         20.7 R      F51
     NEA0004  C2017 09 14.44913123 38 39.882-04 08 46.64         21.0 R      F51
     NEA0005  C2017 09 14.41328923 38 42.385-04 10 17.18         20.3 R      F51
     NEA0005  C2017 09 14.42527223 38 41.750-04 10 20.07         20.6 R      F51
     NEA0005  C2017 09 14.44913123 38 40.482-04 10 26.11         20.2 R      F51
     NEA0006  C2017 09 14.41328923 38 25.743-04 08 43.17         20.4 R      F51
     NEA0006  C2017 09 14.42527223 38 25.233-04 08 48.66         20.9 R      F51
     NEA0006  C2017 09 14.43721423 38 24.745-04 08 53.98         20.8 R      F51
     NEA0006  C2017 09 14.44913123 38 24.246-04 08 59.25         20.7 R      F51
     NEA0007  C2017 09 14.41328923 38 21.440-04 06 30.64         19.9 R      F51
     NEA0007  C2017 09 14.42527223 38 20.877-04 06 37.97         20.7 R      F51
     NEA0007  C2017 09 14.43721423 38 20.323-04 06 45.28         20.6 R      F51
     NEA0007  C2017 09 14.44913123 38 19.771-04 06 52.58         20.8 R      F51
     NEA0008  C2017 09 14.41328923 38 21.328-04 10 29.73         20.4 R      F51
     NEA0008  C2017 09 14.42527223 38 20.688-04 10 35.42         20.5 R      F51
----- end -----
